,name,github_id,labels,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,github_release_downloads,monthly_downloads,projectrank_placing,doc_url,trending
0,Best-of-Robotics-Simulators,knmcguire/best-of-robot-simulators,[],True,AirSim,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,CC-BY-SA-4.0,2025-04-09 08:06:08,2025-07-31 09:46:18,2025-07-31 09:46:15,151,31.0,48,11,68.0,34.0,88.0,848,2025-07-31 09:46:33,2025.07.30,17.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",8,0,True,,,,,
1,WeBots,cyberbotics/webots,[],,AirSim,https://github.com/cyberbotics/webots,https://www.cyberbotics.com/,Apache-2.0,2018-11-05 14:09:10,2025-07-30 23:16:26,2025-07-14 09:31:29,15718,15.0,1781,73,4647.0,222.0,1647.0,3696,2025-02-04 12:36:33,R2025a,17.0,Webots Robot Simulator.,138,29,True,1675948.0,21214.0,1.0,,
2,Nav2,ros-navigation/navigation2,[],,Algorithms,https://github.com/ros-navigation/navigation2,https://github.com/ros-navigation/navigation2,,2018-05-29 23:35:08,2025-07-31 17:38:22,2025-07-30 00:18:50,3246,121.0,1486,62,3116.0,83.0,2203.0,3316,2025-06-02 19:50:14,1.4.0,73.0,ROS 2 Navigation Framework and System.,315,25,True,,,1.0,,
3,Gazebo,gazebosim/gz-sim,[],,AirSim,https://github.com/gazebosim/gz-sim,https://github.com/gazebosim/gz-sim,Apache-2.0,2020-04-15 09:17:50,2025-07-31 16:34:22,2025-07-31 16:34:20,7213,29.0,314,18,2025.0,424.0,558.0,973,2025-01-16 23:44:06,gz-sim9_9.0.0,6.0,Open source robotics simulator. The latest version of Gazebo.,158,20,True,,,2.0,https://gazebosim.org/api/sim/9/,-1.0
4,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,[],,AirSim,https://github.com/Cosys-Lab/Cosys-AirSim,https://cosys-lab.github.io/Cosys-AirSim/,mit,2022-08-22 09:24:58,2025-07-30 16:37:20,2025-04-16 10:05:50,5135,,70,10,31.0,35.0,37.0,198,2025-04-16 10:16:26,5.5-v3.3,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",261,20,True,4408.0,293.0,2.0,,-2.0
5,Pegasus Simulator,PegasusSimulator/PegasusSimulator,[],,AirSim,https://github.com/PegasusSimulator/PegasusSimulator,https://pegasussimulator.github.io/PegasusSimulator/,BSD-3-Clause,2023-02-27 08:58:27,2025-07-20 14:11:57,2025-07-20 14:02:54,216,4.0,89,10,38.0,16.0,32.0,509,2025-07-20 14:09:20,4.5.0,6.0,A framework built on top of NVIDIA Isaac Sim for simulating drones with PX4 support and much more.,4,16,True,,,3.0,,1.0
6,Isaac Visual Slam,NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,[],,Algorithms,https://github.com/NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,https://github.com/NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,Apache-2.0,2021-10-13 23:07:14,2025-07-25 22:22:51,2025-04-03 17:23:00,63,,161,16,35.0,57.0,106.0,1089,2025-04-03 23:57:47,3.2-6,16.0,Visual SLAM/odometry package based on NVIDIA-accelerated cuVSLAM.,4,15,True,,,3.0,,1.0
7,Aerial Gym Simulator,ntnu-arl/aerial_gym_simulator,[],,AirSim,https://github.com/ntnu-arl/aerial_gym_simulator,https://ntnu-arl.github.io/aerial_gym_simulator/,BSD-3-Clause,2023-04-04 20:48:46,2025-07-07 10:03:50,2025-07-07 10:03:15,56,3.0,82,17,10.0,9.0,28.0,533,2025-04-28 07:50:13,2.0.0,2.0,Aerial Gym Simulator - Isaac Gym Simulator for Aerial Robots.,4,15,True,,,3.0,,
8,Isaac Sim,isaac-sim/IsaacSim,[],,AirSim,https://github.com/isaac-sim/IsaacSim,https://developer.nvidia.com/isaac/sim,Apache 2.0 and NVIDIA Omniverse License Agreement,2025-05-28 18:38:18,2025-07-23 17:31:59,2025-07-23 16:41:56,26,26.0,134,15,5.0,37.0,34.0,1155,,,,"NVIDIA Isaac Sim is an open-source application on NVIDIA Omniverse for developing, simulating, and testing AI-driven..",5,12,True,,,3.0,,2.0
9,Swarm Sync Sim,shupx/swarm_sync_sim,[],,AirSim,https://github.com/shupx/swarm_sync_sim,https://github.com/shupx/swarm_sync_sim,BSD-3-Clause,2024-10-27 06:09:01,2025-05-13 08:57:41,2025-03-18 12:46:41,197,,1,1,,,,10,,,,"swarm_sync_sim (also known as sss) is an ultra-lightweight, ROS-based simulator for robotic swarms, including..",6,7,False,,,3.0,,
