,name,github_id,labels,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,github_release_downloads,monthly_downloads,projectrank_placing,trending,doc_url
0,Best-of-Robotics-Simulators,knmcguire/best-of-robot-simulators,[],True,AirSim,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,CC-BY-SA-4.0,2025-04-09 08:06:08,2026-07-08 19:05:20,2026-07-08 19:05:20,214,17.0,102,21,131.0,11.0,129.0,1360,2026-07-08 19:05:41,2026.07.08,65.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",15,0,True,,,,,
1,WeBots,cyberbotics/webots,[],,AirSim,https://github.com/cyberbotics/webots,https://www.cyberbotics.com/,Apache-2.0,2018-11-05 14:09:10,2026-07-08 23:37:13,2026-07-06 07:45:54,15764,20.0,1947,79,4714.0,233.0,1681.0,4450,2025-02-04 12:36:33,R2025a,17.0,Webots Robot Simulator.,144,28,True,1892037.0,20791.0,1.0,-1.0,
2,Nav2,ros-navigation/navigation2,[],,Algorithms,https://github.com/ros-navigation/navigation2,https://github.com/ros-navigation/navigation2,,2018-05-29 23:35:08,2026-07-09 17:32:36,2026-07-09 17:32:36,3571,63.0,1826,70,3658.0,59.0,2522.0,4448,2026-04-29 23:30:40,1.3.12,82.0,ROS 2 Navigation Framework and System.,385,25,True,,,1.0,,
3,Gazebo,gazebosim/gz-sim,[],,AirSim,https://github.com/gazebosim/gz-sim,https://github.com/gazebosim/gz-sim,Apache-2.0,2020-04-15 09:17:50,2026-07-09 17:52:22,2026-07-08 19:27:42,7561,74.0,419,21,2695.0,484.0,631.0,1408,2025-10-14 04:14:45,gz-sim10_10.0.0,7.0,Open source robotics simulator. The latest version of Gazebo.,184,23,True,,,2.0,2.0,https://gazebosim.org/api/sim/9/
4,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,[],,AirSim,https://github.com/Cosys-Lab/Cosys-AirSim,https://cosys-lab.github.io/Cosys-AirSim/,mit,2022-08-22 09:24:58,2026-05-19 15:05:00,2026-01-14 13:58:11,5162,,127,11,36.0,49.0,41.0,387,2025-04-16 10:16:26,5.5-v3.3,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",265,19,True,14008.0,518.0,2.0,-3.0,
5,Isaac Sim,isaac-sim/IsaacSim,[],,AirSim,https://github.com/isaac-sim/IsaacSim,https://developer.nvidia.com/isaac/sim,Apache 2.0 and NVIDIA Omniverse License Agreement,2025-05-28 18:38:18,2026-07-02 16:37:41,2026-07-02 16:34:59,38,3.0,497,22,24.0,34.0,386.0,3669,2026-06-22 23:14:45,6.0.1,6.0,"NVIDIA Isaac Sim is an open-source application on NVIDIA Omniverse for developing, simulating, and testing AI-driven..",5,18,True,,,3.0,8.0,
6,Isaac Visual Slam,NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,[],,Algorithms,https://github.com/NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,https://github.com/NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,Apache-2.0,2021-10-13 23:07:14,2026-07-07 01:05:04,2026-07-06 23:53:12,74,4.0,197,21,41.0,69.0,110.0,1398,2026-07-07 01:05:05,4.5-0,22.0,Visual SLAM/odometry package based on NVIDIA-accelerated cuVSLAM.,6,17,True,,,3.0,3.0,
7,Aerial Gym Simulator,ntnu-arl/aerial_gym_simulator,[],,AirSim,https://github.com/ntnu-arl/aerial_gym_simulator,https://ntnu-arl.github.io/aerial_gym_simulator/,BSD-3-Clause,2023-04-04 20:48:46,2026-06-28 18:57:09,2026-06-28 18:53:46,81,12.0,118,16,14.0,11.0,35.0,738,2026-06-28 18:57:09,2.0.1,3.0,Aerial Gym Simulator - Isaac Gym Simulator for Aerial Robots.,4,16,True,,,3.0,1.0,
8,Pegasus Simulator,PegasusSimulator/PegasusSimulator,[],,AirSim,https://github.com/PegasusSimulator/PegasusSimulator,https://pegasussimulator.github.io/PegasusSimulator/,BSD-3-Clause,2023-02-27 08:58:27,2026-04-28 10:01:37,2026-04-28 10:01:33,232,7.0,171,13,60.0,38.0,40.0,831,2025-10-26 16:49:55,5.1.0,8.0,A framework built on top of NVIDIA Isaac Sim for simulating drones with PX4 support and much more.,6,15,True,,,3.0,,
9,Swarm Sync Sim,shupx/swarm_sync_sim,[],,AirSim,https://github.com/shupx/swarm_sync_sim,https://github.com/shupx/swarm_sync_sim,BSD-3-Clause,2024-10-27 06:09:01,2025-05-13 08:57:41,2025-03-18 12:46:41,197,,3,2,,,,22,,,,"swarm_sync_sim (also known as sss) is an ultra-lightweight, ROS-based simulator for robotic swarms, including..",6,8,False,,,3.0,1.0,
