,name,github_id,labels,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,github_release_downloads,monthly_downloads,projectrank_placing,trending,doc_url
0,Best-of-Robotics-Simulators,knmcguire/best-of-robot-simulators,[],True,AirSim,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,CC-BY-SA-4.0,2025-04-09 08:06:08,2025-09-03 14:30:39,2025-09-03 14:30:03,157,16.0,52,13,74.0,20.0,111.0,875,2025-09-03 14:31:00,2025.09.03,22.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",8,0,True,,,,,
1,WeBots,cyberbotics/webots,[],,AirSim,https://github.com/cyberbotics/webots,https://www.cyberbotics.com/,Apache-2.0,2018-11-05 14:09:10,2025-09-03 23:15:57,2025-08-26 19:42:27,15728,23.0,1799,74,4660.0,223.0,1653.0,3766,2025-02-04 12:36:33,R2025a,17.0,Webots Robot Simulator.,140,28,True,1694663.0,20921.0,1.0,-1.0,
2,Nav2,ros-navigation/navigation2,[],,Algorithms,https://github.com/ros-navigation/navigation2,https://github.com/ros-navigation/navigation2,,2018-05-29 23:35:08,2025-09-03 18:32:54,2025-09-03 18:32:51,3287,110.0,1515,62,3178.0,98.0,2226.0,3402,2025-08-20 17:40:03,1.4.1,75.0,ROS 2 Navigation Framework and System.,320,25,True,,,1.0,,
3,Gazebo,gazebosim/gz-sim,[],,AirSim,https://github.com/gazebosim/gz-sim,https://github.com/gazebosim/gz-sim,Apache-2.0,2020-04-15 09:17:50,2025-09-04 16:29:24,2025-09-04 16:26:06,7358,75.0,323,20,2067.0,430.0,566.0,1013,2025-01-16 23:44:06,gz-sim9_9.0.0,6.0,Open source robotics simulator. The latest version of Gazebo.,164,21,True,,,2.0,,https://gazebosim.org/api/sim/9/
4,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,[],,AirSim,https://github.com/Cosys-Lab/Cosys-AirSim,https://cosys-lab.github.io/Cosys-AirSim/,mit,2022-08-22 09:24:58,2025-07-30 16:37:20,2025-04-16 10:05:50,5135,,76,10,31.0,37.0,39.0,216,2025-04-16 10:16:26,5.5-v3.3,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",261,20,True,5456.0,320.0,2.0,-2.0,
5,Isaac Visual Slam,NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,[],,Algorithms,https://github.com/NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,https://github.com/NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,Apache-2.0,2021-10-13 23:07:14,2025-07-25 22:22:51,2025-04-03 17:23:00,63,,164,16,35.0,59.0,105.0,1116,2025-04-03 23:57:47,3.2-6,16.0,Visual SLAM/odometry package based on NVIDIA-accelerated cuVSLAM.,4,16,True,,,3.0,2.0,
6,Isaac Sim,isaac-sim/IsaacSim,[],,AirSim,https://github.com/isaac-sim/IsaacSim,https://developer.nvidia.com/isaac/sim,Apache 2.0 and NVIDIA Omniverse License Agreement,2025-05-28 18:38:18,2025-08-15 22:40:12,2025-08-15 22:34:10,28,28.0,167,14,6.0,57.0,71.0,1389,2025-08-08 17:46:39,5.0.0,1.0,"NVIDIA Isaac Sim is an open-source application on NVIDIA Omniverse for developing, simulating, and testing AI-driven..",5,15,True,,,3.0,5.0,
7,Pegasus Simulator,PegasusSimulator/PegasusSimulator,[],,AirSim,https://github.com/PegasusSimulator/PegasusSimulator,https://pegasussimulator.github.io/PegasusSimulator/,BSD-3-Clause,2023-02-27 08:58:27,2025-07-20 14:11:57,2025-07-20 14:02:54,216,1.0,100,10,38.0,19.0,32.0,536,2025-07-20 14:09:20,4.5.0,6.0,A framework built on top of NVIDIA Isaac Sim for simulating drones with PX4 support and much more.,4,15,True,,,3.0,,
8,Aerial Gym Simulator,ntnu-arl/aerial_gym_simulator,[],,AirSim,https://github.com/ntnu-arl/aerial_gym_simulator,https://ntnu-arl.github.io/aerial_gym_simulator/,BSD-3-Clause,2023-04-04 20:48:46,2025-07-07 10:03:50,2025-07-07 10:03:15,56,1.0,85,18,10.0,9.0,30.0,553,2025-04-28 07:50:13,2.0.0,2.0,Aerial Gym Simulator - Isaac Gym Simulator for Aerial Robots.,4,14,True,,,3.0,-1.0,
9,Swarm Sync Sim,shupx/swarm_sync_sim,[],,AirSim,https://github.com/shupx/swarm_sync_sim,https://github.com/shupx/swarm_sync_sim,BSD-3-Clause,2024-10-27 06:09:01,2025-05-13 08:57:41,2025-03-18 12:46:41,197,,1,1,,,,12,,,,"swarm_sync_sim (also known as sss) is an ultra-lightweight, ROS-based simulator for robotic swarms, including..",6,6,False,,,3.0,-1.0,
